COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],RfD Information Source,Oral CSF [mg/kg/day]-1,CSF Information Source,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
"HexaCDF, 1,2,3,7,8,9-                                  ",72918-21-9 ,375,521,3.68E-13,1.30E-05,1.10E-05,0.0212,8.00E-06,10000000,6170000,61700,462000,247000,0.03,0.09,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,           ,           ,49000,                  ,0.04,7.00E-09,MDH,140000,MDH,4.00E-07,40,                               ,O            ,F               ,0.00348,0.0096,0.0168,0.1,   ,T      
"HexaCDF, 2,3,4,6,7,8-                                  ",60851-34-5 ,375,513,2.63E-13,1.30E-05,1.10E-05,0.0212,8.00E-06,10000000,6170000,61700,462000,247000,0.03,0.055,57000,0.925,0.00348,0.00348,162000,162000,0.0048,0.0228,0.0276,0.0271,0.79,49000,                  ,0.04,7.00E-09,MDH,140000,MDH,4.00E-07,40,                               ,O            ,F               ,0.00348,0.0096,0.0168,0.1,   ,T      
"Hexachloro-1,3-butadiene (Perchlorobutadiene)          ",87-68-3    ,261,252,0.000289,3.2,0.0081,0.0561,6.16E-06,63100,7580,7600,568,303,1.41,1,1150,0.152,0.065,0.0651,0.893,0.893,0.00789,0.0375,0.0454,0.428,           ,991,2430,         ,0.001,IRIS,0.078,PPRTV,            ,2.20E-05,                               ,O            ,                ,0.065,0.0158,0.0276,              ,   ,T      
Hexachlorobenzene                                      ,118-74-1   ,285,503,2.37E-08,6.20E-06,0.0013,0.0542,5.91E-06,200000,80000,110,6000,3200,0.12,1,2800,25,0.0335,0.033,19,19,0.00855,0.0406,0.0492,2.53,           ,2400,11500,         ,0.0008,IRIS,1.6,IRIS,            ,0.00046,                               ,O            ,                ,0.0335,0.0171,0.0299,              ,   ,T      
"Hexachlorobiphenyls, Unspeciated                       ",26601-64-9 ,326,283,1.01E-07,0.043,0.000283,0.001,1.00E-05,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,4.50E-05,average of oral RFD for Aroclor 1254 and Aroclor 1016,42000,"MDH, based on most toxic congener",1.30E-06,8.571428571,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
Hexachlorocyclopentadiene                              ,77-47-4    ,273,284,7.89E-05,1.8,0.027,0.001,1.00E-05,110000,11700,117,880,470,9.03,1,1770,15,0.0473,0.0473,0.483,0.483,0.00832,0.0395,0.0478,0.641,           ,1520,5520,         ,0.006,IRIS,                    ,,0.0002,                           ,                               ,O            ,                ,0.0473,0.0166,0.0291,              ,   ,T      
Hexachloroethane (Perchloroethane)                     ,67-72-1    ,236.74,459.95,0.000276,50,0.00389,0.0025,6.80E-06,8511.380382,1550.84,15.51,116.31,62.03,1.41,1,247,15.9,0.207,0.207,0.22,0.22,0.005225344,0.024820384,0.030045728,0.076740051,           ,212,                  ,         ,7.00E-04,IRIS,4.00E-02,IRIS,            ,4.00E-06,                               ,O            ,                ,0.207,0.010450688,0.018288704,              ,   ,T      
Hexafluoroethane (PFC-116),76-16-4,138.01,118.34,1.98E+01,302.8,2.41E+01,,,1.41E+02,196.8,,14.76,7.872,,6.76E-01,,,,,,,,,,,,11.08,11.08,,,,,,,,,,,,,,,,
"Hexamethylene 1,6 Diisocyante               ",822-06-0   ,168,206,3.95E-05,117,5.68E-05,0.0624,7.22E-06,1580,1400,14,105,56,8.43,1,67.6,4.83,0.548,0.548,2.52,2.52,0.00283,0.0135,0.0163,           ,           ,58.1,                  ,         ,               ,,                    ,,1.00E-05,                           ,                               ,O            ,                ,0.548,0.00567,0.00992,              ,   ,T      
Hexyethanol 2-                                           ,112-25-4   ,146.23,276.55,5.95E-05,6577,1.73E-07,           ,           ,3.55E+01,10,            ,0.75,0.4,            ,1.00E+00,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Hydrogen Chloride                                      ,7647-01-0  ,35.45,159,46.6,720000,0.00236,0.001,1.00E-05,3.47,13.22,            ,0.9915,0.5288,            ,0.539,            ,            ,               ,               ,            ,            ,1.10E-05,5.23E-05,6.33E-05,           ,           ,3.16,                  ,         ,               ,,                    ,,0.02,                           ,                               ,I            ,                ,           ,2.20E-05,3.86E-05,              ,   ,T      
Hydrogen Fluoride                              ,7664-39-3  ,20,190,1.21,1000000,7.62E-14,           ,           ,1.71,13.2,            ,0.99,0.528,1.27,0.74,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.04,Cal EPA,                    ,,0.014,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Hydroquinone,123-31-9   ,110,445,1.32E-08,72000,2.02E-11,0.0827,9.58E-06,3.89,3.8,0.038,0.285,0.152,36.1,0.957,6.97,183,17.7,17.7,11800,11800,4.35E-05,0.000207,0.00025,           ,           ,3.16,                  ,         ,0.04,PPRTV,0.056,PPRTV,            ,                           ,                               ,O            ,                ,17.7,8.71E-05,0.000152,              ,   ,T      
"Indeno(1,2,3-cd) Pyrene                                ",193-39-5   ,276,433,1.32E-13,2.20E-05,1.60E-06,0.001,1.00E-05,3980000,3080000,530000,231000,123000,0.48,0.005,28100,0.0529,0.00593,0.00593,373000,373000,0.00619,0.0294,0.0356,65.3,           ,24100,618000,         ,               ,,0.12,MDH,            ,1.30E-04,                               ,O            ,PAH             ,0.00593,0.0124,0.0217,              ,   ,T      
Isophorone                                             ,78-59-1    ,138,265,0.000576,12000,6.64E-06,0.0623,6.76E-06,46.8,43.8,0.44,3.29,1.75,9.03,1,10.8,24.6,4.2,4.2,0.506,0.506,0.000357,0.0017,0.00205,0.000397,           ,3.85,3.85,         ,0.2,IRIS,0.00095,IRIS,2,                           ,                               ,O            ,                ,4.2,0.000714,0.00125,              ,   ,T      
Lead                                                   ,7439-92-1  ,209,603,0,9580,0.025,0.0772,9.57E-06,5.37,           ,900,900,900,            ,0,            ,0.009,0.0136,0.045,            ,            ,0.00025,0.0003,                   ,           ,           ,0.09,                  ,         ,               ,,0.0085,Cal EPA,0.00015,1.20E-05,                               ,I            ,Metal           ,0.009,           ,           ,              ,   ,T      
Lead_2013_point                                         ,7439-92-1-2013,209,603,0,9580,0.025,0.0772,9.57E-06,5.37,           ,900,900,900,            ,0,            ,0.009,0.0136,0.045,            ,            ,0.00025,0.0003,                   ,           ,           ,0.09,                  ,         ,               ,,0.0085,Cal EPA,0.00015,1.20E-05,                               ,I            ,Metal           ,0.009,           ,           ,              ,   ,T      
Maleic Anhydride                             ,108-31-6   ,98.1,326,0.000211,4910,4.21E-06,0.0894,1.03E-05,41.7,39.2,0.392,2.94,1.57,8.43,1,10.4,26.6,4.48,4.48,0.706,0.706,0.000328,0.00156,0.00189,           ,           ,3.53,                  ,         ,0.1,IRIS,                    ,,0.0007,                           ,                               ,O            ,                ,4.48,0.000656,0.00115,              ,   ,T      
Manganese,7439-96-5  ,55,1470,0,55,0,0.131,0,1.7,13.22,            ,0.9915,0.5288,2.53E-06,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,0.14,IRIS,                    ,,0.0002,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Mercuric Chloride                                      ,7487-94-7  ,271.52,550.1,0.00012,69000,7.10E-10,0.045312607,5.25E-06,0.609536897,           ,58000,100000,50000,            ,0.85,            ,0.036,0.0145,               ,1800,1800,0.002262,0.00522,3.39E-05,0.023925,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,Divalent        ,0.0093,0.023925,0.023925,              ,   ,T      
Mercury                                                ,7439-97-6  ,201,234,2.63E-06,0.06,0.0071,0.0109,3.01E-05,4.17,           ,1000,1000,3000,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,1.60E-04,Cal EPA,                    ,,0.0003,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Methane            ,74-82-8    ,16.04,121.07,6.96E+02,2610,4.14E-01,           ,           ,6.03,3.979,            ,0.298425,0.15916,            ,1.00E+00,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,1.922,1.922,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Methanol                                               ,67-56-1    ,32,175,0.166,1000000,4.55E-06,0.15,1.64E-05,0.17,0.18,0.002,0.01,0.007,36.1,1,6.39,3650,8.38,8.38,0.00186,0.00186,1.91E-06,9.07E-06,1.10E-05,1.55E-06,           ,3.16,                  ,         ,2,IRIS,                    ,,20,                           ,                               ,O            ,                ,8.38,3.82E-06,6.68E-06,              ,   ,T      
Triethylene Glycol Monomethyl Ether,112-35-6,164.2,298.95,4.55E-06,1.00E+06,1.00E-11,,,3.47E-02,1.00E+01,,0.75,0.4,,0.99978,,,,,,,,,,,,0.8939,0.8939,,,,,,,,,,,,,,,,T      
Methyl Bromide (Bromomethane)                          ,74-83-9    ,94.9,179,2.13,15200,0.00624,0.0728,1.21E-05,15.5,9,0.09,0.675,0.36,9.03,1,8.22,91.4,7.95,7.95,0.000166,0.000166,0.00015,0.000711,0.000861,0.000103,           ,1.65,                  ,         ,0.0014,IRIS,                    ,,0.005,                           ,                               ,O            ,                ,7.95,0.000299,0.000524,              ,   ,T      
Methyl Cellosolve                  ,109-86-4,118,203,0.00263,1000000,3.11E-07,0.0658,8.71E-06,1.16,2.49,0.0249,0.187,0.0996,6.96,1,6.59,264,33.9,33.9,0.23,0.23,1.41E-05,6.68E-05,8.09E-05,           ,           ,3.16,0.928,         ,0.008,PPRTV,                    ,,0.09,                           ,                               ,O            ,                ,38.7,2.81E-05,4.92E-05,              ,   ,T      
Methyl Cellosolve Acetate                              ,110-49-6   ,118,203,0.00263,1000000,3.11E-07,0.0658,8.71E-06,1.16,2.49,0.0249,0.187,0.0996,6.96,1,6.59,264,33.9,33.9,0.23,0.23,1.41E-05,6.68E-05,8.09E-05,           ,           ,3.16,0.928,         ,0.008,PPRTV,                    ,,0.09,                           ,                               ,O            ,                ,38.7,2.81E-05,4.92E-05,              ,   ,T      
Methyl Chloride (Chloromethane)                        ,74-87-3    ,50.5,175,5.66,5330,0.00882,0.126,6.50E-06,8.13,6.3,0.06,0.47,0.25,9.03,1,7.47,119,8.38,8.38,5.90E-05,5.90E-05,8.59E-05,0.000408,0.000494,6.35E-05,           ,3.16,                  ,         ,               ,,                    ,,0.09,                           ,                               ,O            ,                ,8.38,0.000172,0.000301,              ,   ,T      
Methyl Chrysene 5-                                 ,3697-24-3  ,242,423,3.33E-10,0.062,1.30E-06,0.0489,5.66E-06,1170000,927000,9270,69500,37100,2.11,0.359,11000,1.18,0.012,0.012,125000,125000,0.00775,0.0368,0.0446,4.36,           ,9420,177000,         ,               ,,1.7,MDH,            ,1.80E-03,                               ,O            ,PAH             ,0.012,0.0155,0.0271,              ,   ,T      
Methyl Ethyl Ketone (2-Butanone)                       ,78-93-3    ,72.1,186,0.125,220000,5.60E-05,0.0808,9.80E-06,1.95,1.93,0.29,0.14,0.08,36.1,1,6.7,23.1,8.38,8.38,0.00203,0.00203,2.21E-05,0.000105,0.000127,1.51E-05,           ,3.16,                  ,         ,0.6,IRIS,                    ,,5,                           ,                               ,O            ,                ,8.38,4.42E-05,7.73E-05,              ,   ,T      
Methyl Hydrazine                              ,60-34-4    ,46.1,221,0.0658,1000000,3.03E-06,0.148,1.71E-05,0.0891,0.0929,0.000929,0.00697,0.00372,10.5,1,6.39,6880,157,157,0.0014,0.0014,1.91E-06,9.07E-06,1.10E-05,           ,           ,3.16,                  ,         ,1.00E-03,PPRTV,3,PPRTV,            ,1.00E-03,                               ,O            ,                ,157,3.82E-06,6.68E-06,              ,   ,T      
Methyl Iodide                                          ,74-88-4    ,142,207,0.533,13800,0.00548,0.0698,8.09E-06,32.4,18.8,0.188,1.41,0.752,9.03,1,9.69,51.5,5.19,5.19,0.000414,0.000414,0.00027,0.00128,0.00155,           ,           ,2.9,                  ,         ,               ,,2.9,"EPA, interim derived",            ,                           ,                               ,O            ,                ,5.19,0.000541,0.000946,              ,   ,T      
Methyl Isobutyl Ketone                                 ,108-10-1   ,100,189,0.0263,19000,0.00014,0.075,7.80E-06,15.9,15.1,2.2,1.13,0.61,36.1,1,8.26,3.75,7.84,7.84,0.00757,0.00757,0.000153,0.000725,0.000877,0.000123,           ,1.67,                  ,         ,,"HEAST, eliminate",                    ,,3,                           ,                               ,O            ,                ,7.84,0.000305,0.000534,              ,   ,T      
Methyl Isocyanate,624-83-9,57.05,77.8,0.5764,2.90E+04,9.26E-04,0.117,1.31E-05,6.17,39.6,,2.97,1.584,,1,,,,,13.4,13.4,4.87E-08,1.54E-07,,,,1.354,1.354,,,,,,1,,,,,,,,,,T      
Methyl Mercury                                         ,22967-92-6 ,216,       ,            ,         ,4.70E-07,0.052777778,6.11E-06,            ,           ,7000,100000,3000,            ,           ,            ,0.099,0.0294,               ,            ,            ,0.000338,0.00078,5.07E-06,0.003575,           ,                         ,6800000,         ,0.0001,IRIS,                    ,,0.00035,                           ,                               ,O            ,                ,0.019,0.003575,0.003575,              ,   ,T      
Methyl Methacrylate                            ,80-62-6    ,100,225,0.0507,15000,0.000338,0.0881,1.02E-05,24,22.7,0.227,1.71,0.91,8.43,1,8.99,39.5,6.17,6.17,0.00488,0.00488,0.000214,0.00102,0.00123,           ,           ,2.31,                  ,         ,1.4,IRIS,                    ,,0.7,                           ,                               ,O            ,                ,6.17,0.000428,0.000749,              ,   ,T      
Methyl Tert Butyl Ether                          ,1634-04-4  ,88.2,164,0.329,51000,0.000569,0.0959,1.11E-05,8.71,8.4,0.084,0.63,0.336,8.43,1,7.54,89.7,11.1,11.1,0.000986,0.000986,9.13E-05,0.000434,0.000525,           ,           ,3.16,                  ,         ,0.14,MDH,1.80E-03,Cal EPA,3,2.60E-07,                               ,O            ,                ,11.1,0.000183,0.000319,              ,   ,T      
"Methylanthracenes, Unspeciated     ",26914-18-1 ,256,423,2.63E-10,0.061,1.11E-06,0.0471,5.45E-06,631000,503000,5030,37700,20100,0.7,0.307,6790,1.35,0.0172,0.0172,76000,76000,0.00827,0.0393,0.0476,3.79,           ,5830,133000,         ,               ,,255,MDH,            ,,                               ,O            ,PAH             ,0.0172,0.0165,0.029,              ,   ,T      
Methylbenzopyrene,65357-69-9,266,453,7.24E-12,0.0016,1.10E-06,0.043,9.00E-06,1000000,969000,160000,72700,38800,0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,           ,961.6,1165,         ,               ,,1.7,MDH,            ,1.80E-03,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Methylcholanthrene 3-                         ,56-49-5    ,268,443,1.92E-11,0.0029,1.78E-06,0.0457,5.29E-06,2630000,2050000,20500,154000,81900,0.25,0.0313,20400,0.996,0.00754,0.00754,216000,216000,0.00678,0.0322,0.039,4.36,           ,17500,497000,         ,               ,,22,MDH,            ,1.00E-02,                               ,O            ,PAH             ,0.00754,0.0136,0.0237,              ,   ,T      
Methylene Chloride                                     ,75-09-2    ,84.9,178,0.566,13000,0.0022,0.101,1.17E-05,20,10,0.024,0.75,0.4,9.03,1,8.64,359,6.86,6.86,0.000616,0.000616,0.000184,0.000876,0.00106,0.000143,           ,2,                  ,         ,0.006,IRIS,0.002,IRIS,0.6,4.70E-07,                               ,O            ,                ,6.86,0.000369,0.000645,              ,   ,T      
"Methylene Dianiline 4,4-                         ",101-77-9   ,198.268,365.65,0.00390852,1000,0.000775,0.0559,6.47E-06,38.9045145,36.58053055,0.365805305,2.743539791,1.463221222,3.3726,0.999999848,10.20133995,27.88734827,4.666378903,4.666378903,0.003560333,0.003560333,0.000311,0.00148,0.00179,           ,           ,3.344259735,                  ,         ,0.08,ATSDR,1.6,Cal EPA,0.02,0.00046,                               ,O            ,                ,4.666378903,0.000622,0.00109,              ,   ,T      
"Methylenediphenyl Diisocyanate 4,4-                   ",101-68-8   ,250,311,6.58E-09,0.829,1.99E-06,0.0478,5.54E-06,166000,135000,1350,10200,5420,3.37,0.917,2430,1.79,0.0372,0.0372,10200,10200,0.00851,0.0404,0.0489,           ,           ,2090,10400,         ,               ,,                    ,,0.0006,                           ,                               ,O            ,                ,82.7,0.017,0.0298,              ,   ,T      
Methylnaphthalene 1-                                           ,90-12-0    ,142.2,296.15,4.82E-05,40.62,5.80E-04,5.28E-02,7.85E-06,5.25E+03,2528,62.3,189.6,101.12,8.4,1,218,3.5,0.228,0.228,0.219,0.219,5.86E-05,1.85E-04,0.0286,0.0187,           ,498.2,500.2,         ,               ,,                    ,,            ,                           ,                               ,O            ,PAH             ,0.228,0.00996,0.0174,              ,   ,T      
Methylnaphthalene 2-                                    ,91-57-6    ,142,307,7.24E-05,24.6,0.000419,0.0697,8.08E-06,7240,6230,62.3,467,249,8.4,1,218,3.5,0.228,0.228,1.72,1.72,0.00498,0.0237,0.0286,0.0187,           ,187,500.2,         ,0.004,IRIS,                    ,,            ,                           ,                               ,O            ,PAH             ,0.228,0.00996,0.0174,              ,   ,T      
Methylpyrene 1-,2381-21-7,216.28,406,2.30E-09,0.058,9.16E-06,,,3.00E+05,8.90E+04,,,,,0.9626,,,,,,,,,,,,502.6,515.9,,,,,,,,,,,,,,,,
Monochlorobiphenyl 2-                          ,2051-60-7  ,326,283,1.01E-07,0.043,0.000283,0.001,1.00E-05,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,,"EPA recommended for mixtures in food, recommend removing",,"EPA, recommend removing",1.30E-03,1.00E-04,                               ,O            ,,0.01,0.013,0.032,              ,   ,T      
Naphthalene                                            ,91-20-3    ,128,353,0.000112,31,0.00048,0.059,7.50E-06,2000,1190,300,89.3,47.6,5.27,1,80.7,0.269,0.479,0.479,0.381,0.381,0.00313,0.0149,0.018,0.0187,           ,69.3,69.3,         ,0.02,IRIS,,"Cal EPA, for inhalation, recommend removing",0.009,3.40E-05,                               ,O            ,PAH             ,0.479,0.00625,0.0109,              ,   ,T      
NHexane,110-54-3   ,86.2,178,0.199,9.5,1.8,0.0974,1.13E-05,7940,1470,14.7,110,58.7,14.9,1,234,15.9,0.216,0.216,0.000442,0.000442,0.00512,0.0243,0.0294,           ,           ,201,                  ,         ,,"HEAST, eliminate",                    ,,2,                           ,                               ,O            ,                ,0.216,0.0102,0.0179,              ,   ,T      
NHexyl Carbitol                                 ,112-59-4   ,190.29,314.52,2.23E-06,5602,2.68E-09,           ,           ,18.6,10,            ,0.75,0.4,            ,0.999312,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,4.497,4.497,         ,               ,,                    ,,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Nickel                                                 ,7440-02-0  ,58.7,1770,0,422000,0.025,0.0772,9.57E-06,0.269,           ,65,65,65,            ,0,            ,0.008,0.00931,0.032,            ,            ,0.001,0.006,                   ,           ,           ,78,                  ,         ,2.00E-02,IRIS,                    ,,1.40E-05,0.00048,                               ,I            ,Metal           ,0.006,           ,           ,              ,   ,T      
Nitrobenzene                                           ,98-95-3    ,123,279,0.000322,2090,2.40E-05,0.076,8.60E-06,70.8,119,1.19,8.93,4.76,1.28,1,12.5,10.5,3.3,3.3,0.217,0.217,0.000482,0.00229,0.00277,0.00054,           ,5.3,                  ,         ,0.002,IRIS,                    ,,0.009,4.00E-05,                               ,O            ,                ,3.3,0.000963,0.00169,              ,   ,T      
Nitrobiphenyl 4-,92-93-3,199.21,384.29,3.90E-05,9.835,1.60E-06,5.57E-02,6.51E-06,3.72E+03,7.97E+03,,,,,1,,,,,0.234,0.234,5.22E-05,1.65E-04,,,,405.9,406.7,,,,,,,,,,,,,,,,
Nitrogen Dioxide,10102-44-0,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
Nitrogen Dioxide_2013_point,10102-44-0-2013,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
"Nitrophenol, 4-                                        ",100-02-7   ,139,387,5.39E-08,11600,4.15E-10,0.001,1.00E-05,81.3,75.5,0.75,5.66,3.02,209,0.999,13.2,17.5,3.05,3.05,14600,14600,0.00053,0.00252,0.00305,0.000646,           ,5.9,                  ,         ,,"cannot find this one, eliminate",                    ,,            ,                           ,                               ,O            ,                ,3.05,0.00106,0.00186,              ,   ,T      
Nitropropane 2-        ,79-46-9    ,89.1,182,0.0226,17000,0.000119,0.0952,1.10E-05,8.51,8.21,0.0821,0.616,0.329,8.43,1,7.52,91.5,11.2,11.2,0.00461,0.00461,8.94E-05,0.000425,0.000514,           ,           ,3.16,                  ,         ,,"one reference says IRIS, but this value is not in IRIS. It si from Pennsylvania's remediation values. I recommend getting removing.",,"HEAST, eliminate",0.02,                           ,                               ,O            ,                ,11.2,0.000179,0.000313,              ,   ,T      
"Nitropyrene, 1-",5522-43-0,247.26,444.56,1.09E-10,0.03697,3.27E-08,,,5.62E+04,8.60E+04,,6450,3440,,0.684,,,,,,,,,,,,103.8,103.8,,,,,,,0.00018,,,,,,,,,
Nitrosodimethylamine n-                                 ,62-75-9    ,74.1,234,0.00355,1000000,1.82E-06,0.0988,1.15E-05,0.27,22.8,0.228,1.71,0.912,0.000385,1,6.39,28,82.5,82.5,0.00762,0.00762,2.52E-06,1.20E-05,1.45E-05,           ,           ,3.16,                  ,         ,8.00E-06,PPRTV,51,IRIS,            ,0.014,                               ,O            ,                ,82.7,5.04E-06,8.82E-06,              ,   ,T      
Nitrosomorpholine N-,59-89-2,116.12,289.93,1.76E-04,2.46E+05,1.41E-08,,,0.371,2.25E+01,,1.68825,0.9004,,1,,,,,,,,,,,,0.9034,0.9034,,,,,,,,,,,,,,,,
Nitrous Oxide,10024-97-2,46,262,0.948,1000000,               ,0.148,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOX                                                    ,E17134099  ,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
NOX_2013_point                                               ,E17134099-2013,46,262,0.948,1000000,               ,0.148,           ,            ,           ,            ,,,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,,                    ,,            ,                           ,                               ,I            ,                ,           ,           ,           ,              ,   ,T      
"OctaCDD, 1,2,3,4,6,7,8,9-                              ",3268-87-9  ,461,599,1.09E-15,7.40E-08,6.75E-06,0.0869,8.00E-06,158000000,97700000,977000,7330000,3910000,0.03,0.002,479000,0.49,0.000705,0.000705,2360000,2360000,0.00144,0.00686,0.0083,0.0099,0.05,1470,                  ,0.0001,2.33E-06,MDH,420,MDH,0.000133333,0.12,                               ,O            ,D               ,0.000705,0.00289,0.00505,0.0003,   ,T      
"OctaCDF, 1,2,3,4,6,7,8,9-                              ",39001-02-0 ,445,532,4.93E-15,1.16E-06,1.88E-06,0.0195,8.00E-06,100000000,61700000,617000,4620000,2470000,0.03,0.002,479000,0.776,0.00092,0.00092,2280000,2280000,0.00185,0.00877,0.0106,0.00792,0.02,2750,                  ,0.0001,2.33E-06,MDH,420,MDH,0.000133333,0.12,                               ,O            ,F               ,0.00092,0.00369,0.00646,0.0003,   ,T      
"PentaCDD, 1,2,3,7,8-                                   ",40321-76-4 ,356,514,5.79E-13,0.000118,2.60E-06,0.0989,8.00E-06,4370000,2690000,26900,202000,108000,0.03,0.117,30100,1.12,0.00562,0.00562,239000,239000,0.00605,0.0288,0.0348,0.0471,2.5,25900,                  ,0.09,7.00E-10,MDH,1400000,MDH,4.00E-08,400,                               ,O            ,D               ,0.00562,0.0121,0.0212,1,   ,T      
"PentaCDF, 1,2,3,7,8-                                   ",57117-41-6 ,340,499,2.23E-12,0.00024,5.00E-06,0.0223,8.00E-06,6170000,3800000,38000,285000,152000,0.03,0.268,39300,1.03,0.00461,0.00461,97500,97500,0.00553,0.0263,0.0318,           ,           ,33800,                  ,0.09,2.33E-09,MDH,42000,MDH,1.33E-06,12,                               ,O            ,F               ,0.00461,0.0111,0.0194,0.03,   ,T      
"PentaCDF, 2,3,4,7,8-                                   ",57117-31-4 ,340,469,3.42E-12,0.000236,4.98E-06,0.0223,8.00E-06,3160000,1950000,19500,146000,78000,0.03,0.221,23500,1.21,0.00678,0.00678,97500,97500,0.00652,0.031,0.0375,0.0561,3.28,20200,                  ,0.09,2.33E-10,MDH,420000,MDH,1.33E-07,120,                               ,O            ,F               ,0.00678,0.013,0.0228,0.3,   ,T      
"Pentachlorobiphenyls, Unspeciated",25429-29-2 ,326,283,1.01E-07,0.043,0.000283,0.001,1.00E-05,3160000,2450000,24500,184000,98100,0.03,0.992,23500,0.958,0.00678,0.00678,1650,1650,0.00652,0.031,0.0375,12.8,           ,84100,                  ,2,2.00E-05,"IRIS, Aroclor 1254",140000,"MDH, based on most toxic congener",4.00E-07,3.8,                               ,O            ,PCB             ,0.01,0.013,0.032,              ,   ,T      
Pentachloronitrobenzene (PCNB)                         ,82-68-8    ,295.32,417.15,1.49E-07,0.55,0.00038,0.001,1.00E-05,43651.58322,36425.04,364.25,2731.88,1457,0.36,1,869,2.38,0.0806,0.0806,12.9,12.9,0.007506363,0.035655227,0.04316159,0.346740161,           ,746,1622.77856,         ,0.003,IRIS,,"HEAST, eliminate",0.011,7.40E-05,                               ,O            ,                ,0.0806,0.015012727,0.026272272,              ,   ,T      
Pentachlorophenol                                      ,87-86-5    ,266,443,4.21E-08,2000,2.40E-08,0.056,6.10E-06,126000,592,1.2,44.4,23.7,1.42,0.999,1960,1640,0.0437,0.0437,629000,629000,1.39E-05,6.62E-05,8.02E-05,0.955,           ,671,2450,         ,0.005,IRIS,0.4,IRIS,            ,5.10E-06,                               ,O            ,Ionizing        ,0.0437,2.79E-05,4.88E-05,              ,   ,T      
"Pentafluoroethane 1,1,1,2,2- (HFC-125)",354-33-6,120.02,111.93,9.33E+00,867.3,3.05E+00,,,35.5,1.36E+02,,10.215,5.448,,1,,,,,,,,,,,,4.387,4.387,,,,,,,,,,HFC,,,,,,
"Perfluoro compounds (PFCs), Unspeciated",86508-42-1,588.08,258.46,2.34E-03,3.62E-06,7.38E+07,,,1.51E+08,1.44E+08,,10800000,5760000,,1,,,,,,,,,,,,2301,8.46E+06,,,,,,,,,,PFC,,,,,,
